account_id,operation,amount,balance,k_symbol,bank,account,time_diff,type
4367,4,175,32186,3,3,7665,465,1
3447,4,2935,101684,0,13,7665,459,2
1138,5,22195,35390,7,13,7665,329,1
1350,4,3131,16524,1,12,4558,434,2
37,5,2758,14575,0,13,7665,402,2
2899,0,5752,11854,7,13,7665,292,2
2918,5,1080,14122,7,13,7665,248,1
4094,2,5904,22724,1,8,1739,292,1
1436,4,12393,56612,7,13,7665,458,2
2036,2,38114,74158,7,8,3806,276,1
4442,2,6485,22594,5,7,1739,419,2
2902,5,5986,37390,7,13,7665,358,1
905,3,105,22057,3,12,6963,249,1
4023,2,823,52162,7,13,7665,333,1
3153,4,4961,5579,5,1,3947,252,2
37,5,4796,14614,0,2,2047,176,2
4443,4,5860,43360,5,0,1055,309,2
4468,2,5545,44373,0,13,7665,396,0
3465,0,5520,16165,5,2,6642,89,1
1080,0,4492,27385,7,12,989,262,1
1495,4,5513,28537,0,5,4615,310,2
1915,2,144,43400,3,8,6074,277,2
376,5,5388,45836,7,13,7665,419,2
3402,2,1254,28813,7,13,7665,344,2
2483,4,1452,55513,7,9,6418,380,2
3686,5,14,56464,6,13,7665,248,2
4283,5,132,21818,3,12,6731,249,1
4468,2,31711,80648,7,1,1988,300,2
3511,2,7131,41962,0,13,7665,407,1
1379,3,112,14535,3,4,5725,444,2
3489,5,14,30625,6,13,7665,177,2
3489,3,92,19843,0,5,1087,158,2
257,2,143139,96801,7,12,6108,376,2
3140,2,8712,64820,7,13,7665,139,1
706,4,994,21309,7,13,7665,370,2
2761,4,309,34157,3,13,7665,414,2
1697,0,2410,42324,7,2,7665,283,1
4415,0,3989,15489,7,13,7665,412,1
1697,4,3461,23916,5,7,271,380,2
473,5,1243,30066,7,0,0,310,2
3060,4,1872,55758,3,13,7665,409,2
2828,2,26723,2663,7,13,7665,299,1
3861,2,169,83077,7,10,6172,420,1
4023,4,1196,15638,7,11,358,426,2
2337,5,14,27465,7,13,7665,216,2
4272,0,350,11613,3,11,79,385,2
821,2,3848,36439,0,8,5725,369,2
934,5,2727,15702,7,13,7665,410,2
3489,3,129,26955,3,0,2683,379,2
2356,5,691,25617,7,13,7665,328,1
2902,5,284,59470,5,10,4919,143,2
2755,4,6360,34001,4,9,5852,384,2
1328,4,18,23176,7,13,7665,372,2
1066,5,25284,37473,7,13,7665,423,2
3026,4,2878,20236,5,9,5852,374,2
1724,3,108,30792,3,13,7665,437,2
2450,3,2595,22279,0,0,4274,247,1
4054,0,3610,14367,7,13,7665,430,1
2159,2,7131,7288,5,0,1594,250,1
2483,4,2120,20250,0,13,7665,381,2
2580,5,5806,28508,0,11,4843,313,2
1207,0,3737,43475,7,13,7665,402,1
4334,4,8,23705,7,13,7665,405,2
1547,5,3151,19997,0,13,7665,457,2
2450,5,14,26151,0,13,7665,301,2
4047,2,40,55646,7,13,7665,265,1
3335,4,4178,17104,5,9,1988,319,2
3099,5,9841,26701,7,13,0,410,1
669,5,816,27415,1,4,7561,370,2
2761,5,14,13890,0,13,7665,448,2
515,3,293,45499,3,13,7665,452,2
883,5,9315,59968,7,13,7665,53,1
4468,3,3216,23528,0,11,4558,308,2
1313,3,81,16717,3,8,4946,433,1
596,5,2988,21923,7,5,6380,434,0
3140,0,6892,13820,7,13,7665,424,0
3296,0,6372,23274,6,13,7665,447,2
3397,0,17428,7088,7,9,0,170,1
2918,2,315,27381,7,12,7219,181,2
3153,0,7474,31707,7,3,1953,386,1
3559,2,54507,624,7,13,7665,88,1
776,5,21524,51394,7,13,7665,366,2
4023,2,5783,16610,5,10,3628,437,1
376,5,515,34742,7,13,7665,334,2
2342,4,5265,43170,0,9,6311,361,2
4468,0,4266,18089,7,2,7665,26,1
2532,5,3766,22347,0,13,7665,235,1
3140,5,21122,36193,0,13,7665,455,1
2922,3,129,38557,3,5,6581,436,1
3009,5,5482,26493,0,13,7665,397,2
3861,3,44,12868,3,13,7665,470,2
4220,4,677,52523,7,13,7665,411,1
1798,4,44,29917,7,13,7665,385,2
1065,4,127,17016,7,13,7665,394,2
1379,2,4836,43487,1,5,2021,292,1
3559,0,162,4813,5,3,5611,160,1
263,5,14,328,6,13,7665,185,2
550,4,4017,24259,7,13,7665,249,1
3511,5,14,20327,6,13,7665,433,2
4272,5,14,44948,6,13,7665,170,2
1761,0,4687,18320,7,13,0,272,2
3806,0,6083,43865,5,1,3011,309,1
1076,5,6059,59482,7,13,7665,309,1
4184,5,14,51879,6,13,7665,164,2
1080,4,27887,65427,7,9,4946,428,2
1782,4,1318,16124,7,13,7665,378,2
622,0,15821,46424,0,13,7665,421,1
3489,5,1300,24941,7,13,7665,163,2
3863,0,17804,21896,5,1,3537,247,1
1610,4,2565,79735,7,13,7665,397,1
3357,5,9273,49186,7,13,7665,410,1
345,0,2541,15368,7,11,5087,380,2
1,3,13,15266,3,8,3054,412,2
525,4,4420,74061,7,13,7665,427,2
1272,5,12436,26051,7,13,7665,147,1
1332,2,3175,9650,7,0,1115,375,0
4040,3,124,84207,0,13,7665,445,1
2761,5,6132,27631,0,13,7665,440,2
2761,2,5694,12936,7,10,1607,433,1
2483,4,1892,15320,7,13,7665,249,2
3060,0,2901,10988,7,13,7665,411,1
2547,5,3419,33724,0,7,2807,293,2
2350,5,14,27095,6,13,7665,248,1
1207,5,2825,25445,7,13,7665,278,2
3367,4,3004,21671,7,13,7665,441,2
3633,5,43,39378,7,13,7665,393,1
2855,4,1576,15754,1,1,7441,435,2
3097,5,17487,68595,0,13,7665,202,2
2761,0,30088,74803,7,13,7665,89,1
723,5,14774,42624,7,13,7665,243,1
2915,5,28106,31925,7,13,7665,405,2
345,5,913,31029,7,13,7665,219,2
4283,4,3960,25524,7,13,7665,156,1
4033,0,4423,22225,7,13,7665,428,1
2458,4,16,25214,6,4,1055,373,2
4272,5,35,22900,7,13,7665,248,2
1761,0,34786,31630,7,2,5611,14,1
1587,4,906,56755,7,13,7665,139,2
2114,5,17191,30890,7,13,7665,213,2
4084,5,276,22513,7,13,7665,167,1
440,5,817,52130,7,13,7665,327,2
1990,5,3368,36313,3,13,7665,368,2
622,2,33511,42308,7,13,7665,426,2
2761,4,7836,28792,7,13,7665,464,2
596,2,19547,43816,7,13,7665,211,1
3009,5,10548,64528,7,13,0,276,2
2902,4,28,59383,0,13,7665,362,2
2073,5,14,23380,1,1,6393,212,2
2761,3,156,36615,3,13,7665,35,1
1,0,7124,16420,3,11,2529,277,0
2785,2,5646,18941,4,8,6108,326,2
3806,4,14029,41193,7,8,4252,373,2
1207,4,14242,40836,7,13,7665,361,1
669,4,1533,35175,7,13,7665,370,2
900,4,415,23146,0,13,7665,306,2
2677,4,752,46112,7,13,7665,415,2
515,4,2581,16640,7,13,7665,408,1
2450,3,57,16573,1,9,2021,456,2
257,0,5102,27093,7,13,7665,379,1
603,5,981,16334,7,13,7665,458,1
1014,0,12365,68455,7,13,7665,457,1
2073,2,11677,44317,3,13,1607,450,1
99,2,20481,516,7,13,7665,237,1
1455,0,1961,15418,7,13,7665,43,1
3511,3,79,48904,7,13,7665,187,1
3465,5,127,10968,0,13,7665,284,2
3140,4,1499,44206,0,13,7665,369,2
4316,5,807,21923,7,13,7665,379,2
380,5,28,25607,7,13,7665,298,1
900,4,519,60286,7,4,2980,340,2
4415,3,194,6665,7,4,2980,343,1
3571,4,3536,32884,0,5,4843,444,2
264,5,6346,31443,7,13,7665,399,2
1634,0,4418,15527,7,5,5636,167,1
264,0,37266,84235,7,13,7665,425,2
3402,0,6032,4503,5,5,6642,338,1
2855,4,2716,17891,7,4,3628,415,2
3686,5,3551,16426,7,13,7665,250,2
3505,5,459,40052,7,13,7665,275,2
1313,0,7661,14836,5,9,5904,299,0
3730,2,6286,35999,7,8,1294,450,1
1761,2,10702,44100,7,5,1594,240,1
2629,4,20955,37406,3,0,4804,333,2
1680,0,196,21804,0,13,7665,235,1
2177,3,424,76011,7,13,7665,267,2
4097,5,8685,27007,0,13,7665,163,1
3686,5,102,742,7,13,7665,463,2
1098,4,4241,7229,7,7,5725,422,2
2818,2,10467,7721,5,0,1115,302,1
4468,0,1221,646,7,10,6393,241,1
3497,4,2063,50665,7,13,7665,405,1
1904,4,6203,44160,7,5,0,427,2
2761,3,5623,29178,3,13,7665,319,1
905,2,6659,34546,7,10,2773,250,0
776,4,1944,55571,7,13,7665,162,2
2894,5,4462,33380,7,13,7665,151,2
4462,3,92,22528,3,0,6466,478,1
4184,4,599,41901,0,4,2709,408,2
3140,3,14,29699,3,1,2605,187,2
3721,4,1652,16514,7,8,6722,316,2
2563,3,433,16021,7,13,7665,193,1
1782,5,7759,18114,7,13,7665,335,1
3721,2,132,18175,6,0,6393,305,2
537,4,4122,51776,7,13,7665,248,2
3559,4,40,7032,5,11,3845,469,2
3505,5,23714,64431,7,13,7665,432,1
4041,1,8522,59790,7,13,7665,449,0
1688,5,14,26511,0,13,7665,403,2
3505,0,10797,41309,7,13,7665,276,1
4023,4,3424,53664,0,13,2820,315,2
3060,4,1190,64241,0,13,7665,368,2
4415,2,56,57104,7,13,7665,153,1
3062,4,104,32686,7,8,989,171,2
1692,4,3377,19675,0,3,7665,413,2
3086,3,1944,7592,7,4,3947,217,1
4283,3,36,20773,3,11,3342,454,2
2708,5,10543,30310,7,13,7665,265,1
515,4,492,21936,7,12,989,214,2
4415,2,547,82265,7,13,7665,267,1
1215,2,320,22525,7,8,1294,283,1
4468,5,948,22712,7,10,2561,457,2
883,4,1655,14453,7,13,7665,413,2
4313,5,19058,36121,7,0,0,453,1
3465,5,20714,67278,0,13,7665,315,1
550,4,1842,23072,7,13,7665,480,2
4144,3,79,26275,3,3,5792,470,2
4220,3,144,16092,7,8,4007,451,2
1724,4,1878,27914,0,13,7665,369,2
939,4,5,19445,7,13,7665,330,1
3367,2,274,16553,3,3,7665,161,2
622,5,2986,57739,0,13,7665,346,2
2855,3,69,4183,3,12,7665,193,1
1141,4,7270,66211,7,13,7665,464,2
330,0,3464,30134,0,13,7665,447,2
3062,5,17069,42568,7,13,7665,333,2
2136,3,203,16776,6,13,7665,414,2
1350,4,8706,25613,0,13,7665,403,2
3107,4,2327,23480,7,13,7665,319,2
601,5,6073,17194,6,9,2047,338,1
2408,4,3079,16082,7,13,7665,383,2
3571,4,2346,41072,7,13,7665,254,2
1141,5,1874,28052,7,13,7665,417,2
973,4,1667,45400,7,13,7665,435,2
845,2,11380,30420,7,12,2094,180,1
2483,4,54,8689,0,13,7665,414,2
4144,2,7802,60002,7,13,7665,310,2
3367,2,1190,19160,7,6,6581,237,1
1688,5,3199,27757,7,10,6848,421,2
515,3,129,21305,7,13,7665,56,1
1959,4,2299,43624,7,2,6466,308,1
4283,4,5268,13561,0,13,7665,249,1
3447,2,24779,83591,7,13,7665,463,1
3140,2,4251,77192,7,13,7665,138,1
1428,4,5637,16413,1,10,5904,416,2
1717,5,75,56629,3,13,7665,457,2
1138,5,5557,27617,0,13,7665,287,2
1023,5,16840,33765,7,13,7665,301,2
4023,4,1273,42380,7,13,7665,316,2
4367,4,3359,20133,7,13,7665,406,2
1076,5,767,22300,7,13,7665,169,2
1162,0,224,14066,3,13,7665,255,2
1870,3,69,20049,3,13,7665,446,1
2708,5,11103,40052,7,13,7665,217,1
2677,4,1146,26946,7,4,1670,476,2
1080,2,22521,69259,7,13,7665,427,2
4178,5,17067,23669,7,13,7665,281,1
2398,5,14,27045,6,13,7665,256,2
1,3,77,28234,3,3,1087,403,2
2828,5,27503,104862,0,13,7665,257,2
821,4,5669,43323,3,10,2828,463,2
3156,0,3765,31986,7,5,2516,96,1
4283,4,1955,22021,5,8,6108,469,2
209,5,14,16474,7,13,7665,409,1
4250,5,4010,32736,7,13,7665,266,2
31,5,17204,47830,7,13,7665,281,2
3140,5,17372,84380,7,13,7665,420,1
1832,3,125,33017,3,6,792,420,2
3633,5,12570,44916,7,13,7665,259,1
973,5,10012,82264,7,13,7665,335,0
1870,3,151,16970,0,13,7665,407,2
362,3,140,41138,5,1,1115,314,1
2277,2,1974,22280,7,5,2980,344,1
2408,2,4950,44585,7,9,6683,125,2
1428,3,83,39859,3,3,2924,423,2
4023,3,316,5391,3,8,6827,312,2
3051,2,9775,47626,5,3,6631,69,1
4094,4,909,16340,7,0,989,228,1
1064,4,2813,16366,0,13,7665,438,2
1504,5,14,36287,7,11,1670,312,1
1522,3,122,44460,3,13,7665,239,1
1162,3,17,14015,3,3,7665,461,2
2761,4,9398,25035,7,4,7665,412,1
4283,5,2334,40842,0,13,7665,186,2
4054,3,83,22246,3,11,4446,457,1
4250,5,15167,37957,0,13,7665,377,2
3489,3,118,59278,7,13,7665,421,2
2684,5,14,22589,6,13,7665,250,2
3465,3,394,19344,5,9,6393,400,2
3721,4,4005,15405,0,4,3774,461,2
596,0,6828,27090,0,13,7665,418,2
721,5,15,59901,0,2,1670,380,1
1023,4,3888,20504,7,0,5756,411,2
669,5,14,21015,6,13,7665,405,2
263,0,5860,28558,0,13,7665,401,2
515,0,6082,21538,0,13,7665,204,1
2677,1,12918,22692,7,13,7665,340,1
243,2,30070,103457,7,13,7665,369,1
2828,2,29703,49450,7,13,7665,278,2
2136,5,47146,21618,7,1,792,166,1
3367,4,9506,51597,5,1,957,160,2
4468,5,14,52439,6,13,7665,441,2
1170,2,9488,59879,7,13,7665,422,1
2450,4,4190,24921,0,13,1291,168,2
3559,0,2044,20985,0,9,1256,298,2
1014,0,5715,24022,1,3,1928,189,2
700,4,1130,29673,7,13,7665,353,1
3893,0,4561,19298,7,13,7665,370,1
4468,2,17485,58580,7,6,1434,469,1
1864,2,12745,24281,7,8,5725,222,2
2918,5,743,27860,7,13,7665,149,2
2105,4,4732,21999,7,0,2980,335,2
1080,5,14,57672,7,13,7665,376,2
1080,5,14,45109,6,13,7665,281,2
2855,5,5245,3753,7,13,7665,341,1
345,4,3,14994,0,7,212,422,2
2644,2,7100,34527,7,10,2773,421,2
31,0,2990,22576,7,13,7665,433,1
2918,5,9239,36788,7,13,7665,394,2
2036,5,14,16396,6,11,6466,457,2
4033,0,24475,57934,7,13,7665,19,1
1080,5,2695,58311,6,13,6062,432,2
2761,4,1834,25963,7,13,7665,448,2
4053,5,2851,28736,7,13,7665,166,2
3861,5,21796,44440,7,13,7665,458,1
2292,0,166,23590,0,2,6856,452,1
2828,0,7105,27658,0,0,7665,280,0
1076,3,133,44260,3,10,1670,283,1
900,4,1897,18489,1,4,7561,347,2
3116,4,8055,1550,7,2,4843,405,2
2628,2,4950,79198,7,3,6016,458,1
1870,0,5888,27308,5,10,5274,307,2
2547,2,55964,13685,0,2,6722,303,2
177,5,47,4916,3,13,7665,272,2
2048,4,2472,28100,1,1,4615,310,2
1328,3,139,44751,6,11,14,408,2
2761,2,30423,15254,7,13,7665,384,2
4283,4,5197,25480,1,0,4200,133,1
31,5,2533,29838,7,13,7665,339,2
1023,0,7783,22338,5,9,5394,150,1
3060,0,5615,16552,7,5,2623,431,1
1915,2,13928,48302,7,12,989,290,1
1178,4,84,20114,7,13,7665,311,2
2490,1,6959,38307,7,13,7665,221,1
1603,4,2411,12287,7,4,4368,410,2
2761,5,7221,27282,6,5,5966,450,2
4334,4,1777,13508,7,5,1670,458,2
4220,2,36947,813,7,1,6466,345,1
4283,3,57,38501,3,13,7665,448,1
2065,4,1891,20025,6,13,7665,412,1
3060,5,2357,51668,7,13,7665,426,2
426,4,1794,24756,7,13,7665,447,0
3335,0,3336,22313,1,2,1490,438,1
1547,2,17347,32019,7,13,7665,381,1
4076,5,120,28234,7,13,7665,20,1
4475,4,138,37656,3,10,910,303,2
34,5,3218,20870,7,13,0,322,2
3965,5,6161,35728,7,13,7665,378,1
1819,0,32768,43148,7,13,7665,245,1
2563,5,14,26501,6,13,7665,386,2
3511,4,1383,18311,1,10,7423,298,2
2580,4,1721,18818,0,13,7665,252,1
1547,4,866,58545,3,13,7665,412,2
1870,2,51346,54927,5,3,5678,456,1
825,5,181,26874,3,8,0,285,1
1,4,10389,4722,1,8,5394,456,2
4415,4,4021,16705,7,0,4368,414,2
3140,2,802,23274,7,9,5911,365,2
1864,4,2182,15018,7,0,3976,466,2
1207,0,12112,23841,7,9,3596,230,2
515,3,93,22786,3,13,7665,460,1
1080,4,1946,27163,7,13,7665,432,2
2563,4,219,44557,3,13,7665,413,2
3060,5,15,44146,6,13,7665,307,2
4023,3,14,38454,6,4,7282,460,2
4084,3,28,22603,3,8,1844,465,0
4144,4,3041,26323,7,13,7665,420,2
362,2,2351,22327,5,8,1238,347,1
1141,4,2414,6034,7,8,2683,470,2
2580,3,140,4346,3,13,7665,257,1
1857,0,3992,16889,7,13,7665,238,1
2412,0,5093,28709,0,13,7665,440,2
4047,4,2705,59867,7,13,7665,453,1
2761,2,2,80783,7,13,7665,385,2
1138,0,25283,29890,7,13,7665,25,1
2902,0,254,9179,3,4,4521,110,1
1664,4,192,26728,0,7,4368,468,2
455,2,42,44984,7,13,7665,461,1
1080,5,479,50510,7,13,7665,426,1
1436,5,13,25232,6,13,7665,410,2
2761,5,14,36890,6,13,7665,302,2
1121,0,18899,32499,7,13,7665,64,1
376,4,14977,786,7,3,6848,397,2
2761,5,14,26802,6,6,5756,457,2
754,5,35,6647,7,12,5852,365,2
970,5,822,26338,7,3,2980,266,2
1646,0,6217,35023,1,11,4993,359,1
3140,4,1289,22331,7,12,3537,355,1
403,2,31078,58298,7,13,7665,297,1
2458,0,5613,17959,7,13,7665,377,1
1857,0,6007,35980,0,13,7665,180,1
4144,2,21820,86467,7,13,7665,367,2
3551,5,2399,27029,7,13,7665,315,1
2864,3,101,53856,3,13,7665,437,1
1495,2,5343,18268,7,3,6023,314,2
2855,4,5432,15822,7,13,7665,309,2
1904,4,2401,20617,0,13,7665,420,2
905,4,8858,64224,7,13,7665,162,1
2563,2,383,19469,7,13,7665,434,2
3140,4,159,37822,3,9,5725,361,2
3153,0,3397,22998,0,0,2623,342,2
1138,5,17537,45666,7,13,7665,249,2
2366,4,2870,35717,0,12,6191,396,2
1178,2,33516,47706,7,13,7665,181,1
2755,3,0,13509,3,2,3054,423,1
3367,3,165,43856,3,1,4228,466,2
3465,2,5421,16273,7,13,7665,460,0
3870,2,374,766,7,13,4955,183,1
4272,5,45,44437,7,13,7665,309,2
3806,4,1435,469,7,8,1294,458,2
1162,5,46439,23522,7,10,5792,311,2
1547,0,6836,26763,1,11,2047,458,1
3511,5,5752,34179,3,13,6426,470,1
3054,4,593,28264,7,13,7665,277,1
1699,4,847,612,7,2,2734,467,0
3895,3,317,40105,5,2,2683,411,2
2855,2,1640,36208,7,13,7665,55,1
3993,4,6060,46597,5,9,6631,244,2
426,5,944,1766,7,13,7665,271,2
22,5,13050,41479,7,13,7665,160,1
905,4,1119,26362,7,6,6642,340,2
345,3,120,22362,0,13,0,278,2
1959,2,6066,28000,7,13,7665,287,1
4468,4,4209,17150,0,13,7665,400,2
3978,0,3734,61057,5,12,768,85,1
4220,4,4054,22156,0,13,7665,467,2
3367,4,1764,29527,7,4,4524,241,2
1428,5,167,25757,3,13,7665,312,2
2114,2,16444,83666,7,12,1267,371,2
263,5,941,24826,7,13,7665,315,2
550,5,928,27417,7,13,7665,410,2
4468,5,15,25309,6,13,7665,410,1
4283,2,6555,35981,7,13,7665,393,1
380,4,172,21033,0,13,7665,426,2
3140,4,2006,14266,7,13,7665,177,2
939,0,2759,22960,7,0,5636,459,1
1236,3,141,20300,3,2,1087,109,1
1023,4,28,35978,0,13,7665,381,2
3511,4,5072,71659,1,11,6191,426,2
2521,5,1857,25592,3,13,4228,308,2
1610,4,2953,61965,6,13,7665,459,2
1915,0,5310,22264,5,11,3106,262,1
2818,4,797,14191,7,3,7379,344,1
2563,5,15365,45230,7,13,7665,406,2
3511,5,2246,19218,7,10,3908,217,1
2761,0,21244,62422,7,13,7665,297,1
2973,3,121,6302,5,9,14,434,2
3402,4,14,83023,7,13,7665,449,2
2450,5,2542,20652,7,13,7665,459,1
78,4,2597,20036,7,0,5636,342,1
4094,3,284,5498,3,0,6731,372,2
1076,4,14,21237,6,13,7665,399,2
403,5,9774,11804,7,13,7665,216,1
3253,4,14,20636,6,3,1055,371,2
4220,5,15,30828,6,13,7665,218,1
1782,5,6030,17893,3,13,7665,267,2
3009,3,168,28609,1,12,6373,339,2
4023,2,13426,58354,7,13,7665,174,1
4317,0,4443,23999,1,11,229,464,1
1915,2,3948,35919,7,12,989,278,1
3505,4,170,32920,0,8,1731,459,2
4415,2,14650,14454,7,12,3627,30,1
2036,2,80177,30928,7,4,4368,345,1
1959,3,39,49886,6,13,7665,335,1
2902,4,37,57588,7,13,7665,417,2
3054,2,12314,61362,7,13,7665,110,1
3097,5,3106,50426,7,13,7665,181,2
3335,5,614,27949,7,13,7665,381,2
1522,5,2498,36205,0,13,7665,310,2
1646,4,2966,27769,7,6,3284,338,2
2337,5,18412,38514,0,13,7665,250,2
603,5,1080,25930,7,13,7665,226,2
2902,4,562,22866,7,13,7665,307,2
194,5,3071,44613,5,2,6963,338,2
4023,3,247,28414,0,13,7665,395,2
3511,4,8887,30602,0,4,6866,377,2
1547,2,190,57071,2,13,7665,434,1
1688,4,1027,26989,7,1,6282,396,2
2864,2,18402,58528,7,13,7665,275,1
3511,4,3218,62569,0,13,7665,464,2
3116,2,127,7995,3,13,7665,397,2
305,4,9411,46575,1,10,433,460,2
3054,2,10186,7418,7,3,7665,401,1
1401,3,112,28594,3,5,4252,274,2
1915,3,117,23645,5,8,433,338,1
3511,2,5988,22185,7,8,5336,253,2
2761,2,16,22644,7,13,7665,458,2
515,3,12,19775,3,9,768,300,2
4159,0,5134,20733,7,13,7665,470,1
4272,5,14,21104,6,13,7665,378,2
4159,4,5198,49646,0,13,7665,472,2
4220,4,36,45412,0,8,7665,358,2
596,5,24321,48526,7,13,7665,234,1
3060,4,4773,49773,0,13,7665,296,1
3099,0,7752,2481,1,10,5725,335,1
4033,4,1301,176,7,13,7665,339,2
3806,0,149,23704,7,9,5904,316,1
3097,5,11,14747,0,13,7665,312,1
2855,4,3582,17522,7,13,0,164,1
1056,2,496,26880,7,9,358,228,1
2458,4,5197,16281,1,10,5312,424,2
1916,5,80,51361,7,13,7665,452,2
2902,4,885,15176,0,13,7665,419,2
4042,4,3111,19192,0,13,7665,165,2
825,5,15,40355,0,4,7665,146,2
1495,4,3152,15625,0,13,7665,164,1
972,3,8,16475,7,13,7665,422,1
4023,3,113,38608,3,13,7665,82,1
1313,2,14,34098,6,11,5087,372,2
3991,4,256,21296,0,13,7665,458,2
1603,3,74,24457,5,12,4919,342,2
3465,0,6691,12238,1,3,5904,465,1
4250,0,5636,633,7,13,7665,250,1
2458,3,107,31670,7,13,7665,315,2
1080,4,1957,21999,7,13,7665,397,2
263,5,5524,34860,7,1,2047,459,2
4250,5,10857,36768,0,13,7665,279,1
1147,5,43426,64792,3,13,7665,455,2
3571,0,4525,23328,7,9,7423,410,1
2761,5,24231,86667,7,13,7665,305,0
37,0,9073,28004,7,13,7665,453,2
1782,5,14,44043,7,13,7665,256,2
4023,2,321,45582,7,4,4368,376,2
257,0,6996,16380,6,13,0,257,2
4047,5,14,27238,3,11,5725,253,2
3180,0,6845,5487,5,7,3384,457,2
2065,5,11097,55361,7,13,0,338,1
3054,2,8126,49218,7,13,7665,177,1
469,5,2116,14267,7,13,7665,443,1
2761,0,5446,16810,5,5,1115,245,1
2490,5,2080,22555,7,13,7665,247,1
3551,0,9081,28465,7,2,2623,120,1
2580,5,16949,33400,7,13,7665,444,1
31,5,6025,41081,7,13,7665,436,2
2677,5,23883,29998,7,13,7665,101,1
3367,5,5717,33598,0,13,7665,437,2
3513,5,14,44901,6,13,7665,431,2
2761,5,3516,13560,7,0,6447,253,2
209,2,331,16114,7,13,7665,334,1
596,0,3738,16658,0,13,7665,402,2
622,5,2028,25339,0,13,7665,380,2
2845,4,243,31993,0,0,4946,457,2
3027,3,14,14902,3,10,3184,467,2
4023,0,4731,37000,0,1,7219,284,2
4029,4,61,15523,3,9,5852,297,0
2412,5,17068,44817,7,13,7665,184,1
3402,2,565,17180,5,1,6508,182,1
4029,0,55811,56787,7,13,7665,174,1
1603,4,5737,15693,0,8,5678,312,2
3106,5,11222,29215,7,13,4252,420,1
1990,5,14,20342,2,13,7665,458,2
4159,5,14,44327,6,13,7665,451,2
825,4,170,33021,3,4,4446,446,1
706,2,1300,25971,0,13,7665,350,1
1688,2,135,25714,7,11,0,213,2
1094,3,9,19997,3,13,7665,437,2
3511,2,16096,47900,7,0,4368,456,2
3476,0,34255,11988,0,13,7665,165,1
3806,2,5383,39463,5,1,4368,466,2
4144,3,129,43949,7,3,6731,106,1
1272,5,3147,18802,0,13,7665,335,2
3978,4,18090,37733,7,13,7665,458,2
3060,5,2278,44363,7,13,7665,341,1
2563,3,424,29879,3,10,2377,403,2
1724,4,834,298,7,11,4252,451,2
3140,0,43275,47210,7,13,7665,361,1
1341,5,83,7308,3,5,6418,215,2
4033,0,710,16527,7,8,4175,184,1
1162,5,14,36148,5,7,7379,125,1
2918,2,144,74843,7,13,7665,408,1
2855,3,179,74373,5,7,7665,426,1
4054,5,6205,23713,7,13,7665,428,2
1545,5,16,19732,6,4,6827,387,2
