account_id,operation,amount,balance,k_symbol,bank,account,year,month,day,dayofweek,type
4373,4,3578.0063070954566,27372.215484863897,7,13,7665,1993,10,8,4,2
1465,2,13728.49976939183,41578.378390669,7,13,7665,1993,12,31,0,1
603,5,14.018558941945424,43531.98226512908,6,13,7665,1993,6,30,5,1
2579,2,2885.438394873793,41158.01735164101,7,0,3133,1993,1,6,6,1
2108,3,492.3338897315206,214.70683098641348,3,11,6842,1994,1,11,3,2
548,5,24085.476013368574,32302.799313154726,7,13,7665,1993,10,13,6,2
2934,3,872.5825959013057,30011.876144112466,3,4,1411,1993,4,10,4,1
4366,0,4537.220941814966,16241.606939965855,7,13,7665,1994,1,31,3,1
2031,5,80.45300114230947,27697.07083369528,0,5,5147,1993,8,8,4,2
4076,3,140.57125449673225,46245.459649502474,3,3,7052,1994,4,14,5,2
2342,5,1154.4297150361992,21987.42894424275,7,9,7052,1993,12,11,5,1
748,5,23937.076986055494,26199.377927798596,7,13,7665,1993,7,30,1,1
1755,5,7096.4061205224825,45525.024725199466,7,13,7665,1993,12,18,6,1
2001,5,14.053556910258601,27524.622746249275,6,13,7665,1993,3,13,2,2
2797,0,3447.818384361114,15046.282724188284,7,13,7665,1994,1,28,0,2
622,5,3253.87901686846,38527.66084018881,7,13,7665,1993,6,8,2,2
1121,4,3071.820115349285,13312.824754154863,5,6,7597,1993,9,25,5,2
723,5,49.959937276830594,58851.01781852458,3,13,0,1993,8,31,1,1
2260,4,3059.8907713958347,33553.004943048,0,13,5042,1993,11,30,1,2
1985,4,2416.36966234716,14857.516289665116,7,13,7665,1993,8,9,1,2
1435,4,64.1725671241949,29367.47121796778,3,4,4368,1994,10,11,0,0
3762,4,64.38909687988925,18746.375715148322,1,11,6842,1993,8,10,5,2
777,4,2065.9027294944217,23480.975053103204,7,13,7665,1994,2,25,5,2
1416,4,4371.059377802207,16786.214172141776,7,13,3026,1993,10,18,5,1
754,3,86.35082426974452,36338.91817678514,3,4,5580,1993,4,12,2,1
1913,4,2646.341732226079,19899.560237420017,7,13,7665,1994,2,17,5,2
2112,3,352.86463536590895,454.9966216593757,7,13,7665,1994,1,31,1,1
1843,4,19945.281077382297,29867.556862454163,7,13,7665,1993,10,31,0,1
126,4,8194.908140604466,40074.217054592955,4,4,4984,1993,10,11,2,2
1121,4,2639.6517855820334,19482.704991357325,0,13,7665,1993,4,9,6,2
1399,2,6035.679835025783,30580.565576092973,7,13,7665,1993,12,10,5,1
733,3,76.16619825983605,12809.64451178641,3,3,2776,1994,2,28,0,2
4054,5,14.065926719753618,49242.64982380438,6,13,7665,1993,7,8,5,2
3762,3,145.53282496055715,10239.431752942499,3,4,5902,1994,3,10,5,2
3822,5,4272.26253109219,27173.804529644873,6,13,7665,1993,8,6,4,2
4170,3,514.2544650744974,42619.885982079984,5,5,2119,1993,8,31,3,1
1805,4,4784.45272745319,43446.20660008909,0,13,7665,1993,12,31,3,2
4054,4,130.776202939981,154.84183135583044,3,11,5147,1993,12,24,0,2
4076,5,29528.236126764124,60865.23147344413,7,13,7665,1993,8,7,1,2
4097,5,18446.262634965282,35496.04405374068,7,13,7665,1993,9,7,6,2
4382,2,1316.5691115874324,17471.179698861302,7,13,7665,1994,3,31,0,1
2260,4,278.91471238118135,18807.99441470795,5,12,4428,1994,2,11,6,2
1420,5,3883.528659592143,21435.769715849292,0,13,2544,1994,2,9,1,2
821,5,10742.36826282761,62349.326103252635,2,13,7665,1993,7,30,3,2
4170,0,4747.244394302838,14023.335847884842,5,10,4274,1994,2,13,1,0
162,5,3072.5325727941986,37092.52750953302,7,13,7665,1994,6,18,0,2
622,4,18834.94857467325,8979.624256222,2,1,2962,1993,7,5,1,2
3189,4,11317.937863838744,24825.173420983763,7,13,7665,1994,3,3,1,2
3686,2,27670.414068664322,2635.5515410592398,7,13,7665,1994,3,9,6,1
733,2,356.0596274710636,65323.72917848744,0,6,6066,1994,4,5,3,2
1616,0,6054.439393907268,48549.36302519506,3,6,1411,1994,1,13,3,1
1416,3,76.31230842976392,26552.58330149762,3,9,1965,1993,10,5,4,2
2402,3,444.9455803126467,61249.93450853505,3,4,1411,1994,4,10,3,2
2512,3,4.803034968923545,49358.23764937148,3,5,5325,1994,2,23,2,2
323,3,96.23917650975078,29243.56100894908,2,13,7665,1993,3,31,6,2
3802,4,3658.6549529378804,72362.45938002913,5,4,5636,1994,4,28,0,1
3844,5,922.1902497885833,29651.284360070626,7,13,7665,1994,1,10,5,1
381,3,23.777158602018808,438.8647104997008,3,13,3249,1993,8,31,1,1
258,4,143.28269720952673,24812.124573951154,7,13,7665,1993,3,18,3,2
2902,4,912.3539955765937,38668.35327679418,0,13,7665,1993,5,5,6,2
664,2,7175.7945290173375,20927.831493885427,3,3,7665,1994,1,10,1,1
857,4,333.05054038312977,28265.99271657975,0,13,7665,1993,7,13,1,2
4415,4,1382.6150762566383,122615.06427056834,7,13,174,1994,4,5,3,2
4313,0,208.70588782926768,45550.453620256456,3,13,7665,1993,12,9,1,1
3484,2,25198.190951773973,33180.871617339864,6,13,7665,1993,3,5,6,1
2196,2,828.6158167471096,17962.534587183553,7,4,1569,1994,1,21,2,1
194,5,14.053710492341406,2196.316440094364,6,13,7665,1994,3,6,4,2
4047,5,13.08173337808967,28645.887822969446,6,13,7665,1994,3,8,0,2
3993,0,14255.24378379636,35274.54772512226,7,1,6431,1994,1,10,0,1
4079,4,621.5216474896164,25654.453828583948,7,4,7618,1993,2,28,0,2
4273,5,14.22958128452609,78124.47514326585,6,13,7665,1994,1,28,0,1
4366,5,1519.6221970853228,25666.472672373515,7,13,7665,1994,4,9,5,1
2224,5,3404.191953225454,28189.550177653968,0,5,4832,1994,3,12,6,2
2370,4,2768.127868894185,38170.34129252599,7,12,7665,1994,1,11,6,1
4276,3,0.37795389211882546,14013.540803445183,3,8,4713,1993,12,6,5,1
3465,3,14.050716221010799,79341.239627967,6,13,7665,1993,12,28,0,2
356,3,117.7587655206038,28437.01997866197,3,1,6094,1994,3,7,0,1
2402,3,205.85367620814188,30052.5269402693,7,13,7665,1993,11,13,1,1
4047,4,3977.5672731450095,27031.038253153445,7,13,7665,1994,3,11,3,2
2224,2,11591.444774121472,27448.91749784875,7,13,0,1993,12,6,3,1
3762,5,13.348667433304284,5724.02491163251,6,13,7665,1993,7,10,3,1
258,4,4109.238207328336,36257.92367209212,5,11,5042,1994,2,24,4,0
4223,2,401.9971628677342,74088.32836883538,7,13,0,1994,1,19,4,1
3723,0,3311.5169150047195,80784.3868906662,7,13,7665,1994,3,5,5,1
2636,0,5109.160999106971,18056.990785940172,7,13,7665,1994,1,13,0,1
2636,5,4403.354687159105,35307.24069669718,7,13,7665,1994,1,5,0,1
3011,5,137.7465860108218,32907.390276747225,7,13,7665,1993,11,30,1,1
2342,4,6296.877380188028,16208.450993412156,7,13,7665,1994,3,31,5,2
2628,5,14454.40757673124,7114.673026735332,7,13,7665,1993,6,30,5,1
4250,0,3947.534927040169,19647.38623716893,7,5,4227,1994,2,5,5,2
2894,3,153.95300040587486,65529.806134466155,0,13,7665,1993,10,28,0,2
2031,5,2774.0303759791473,16828.13651155021,1,0,5466,1993,4,10,6,2
4243,2,9110.834746535555,76056.48386780368,7,13,7665,1994,3,14,6,2
3106,4,4161.226289221325,54473.69162149194,7,12,5042,1993,10,14,0,2
2345,5,831.8040769217558,15823.889078388856,7,13,7665,1993,4,15,1,2
4076,3,115.38586453860803,53409.53234900744,3,12,105,1994,4,10,1,2
3086,3,186.1269712797427,12923.258240435724,3,12,6435,1993,10,28,6,2
3887,5,2802.1726792951927,42861.17465134357,7,13,7665,1994,3,31,1,2
323,3,1922.6404259707044,62552.05779337455,5,11,139,1993,4,7,1,2
3945,4,3426.685470320526,39505.594907635765,7,13,0,1994,1,16,4,2
110,2,79.48607870703968,673.4771552776183,7,13,7665,1993,11,30,3,1
3737,4,2519.517015398692,37431.817357908374,0,13,0,1994,1,7,6,2
1465,3,14.086347937954278,36288.36533117775,7,13,7665,1994,1,31,0,1
1805,4,6958.041857648204,33711.439883855935,7,13,7665,1993,12,11,6,2
1002,4,656.0904722153218,22185.750306810518,5,10,174,1994,4,8,6,2
1591,0,38017.49613990201,45386.84169772081,3,3,5042,1993,6,30,1,1
1331,0,5505.1855711204535,11554.293915463084,7,4,5147,1993,9,28,5,1
4040,5,3057.8785700402077,37261.02804734973,7,13,7665,1994,1,17,2,2
2902,4,2126.776917669398,20489.85072418979,7,13,7665,1994,1,15,6,2
466,0,1909.1316104378716,23273.92534957326,7,13,7665,1994,4,31,4,0
774,4,15523.374920270116,45954.396738108735,7,13,7665,1994,1,6,0,2
2684,3,738.5336310837805,30877.602873632713,7,8,0,1994,2,7,3,1
1121,4,869.8699728988829,28824.54229496763,0,8,5893,1993,8,5,1,2
2512,5,145.03616089060446,20160.882484366688,3,13,7665,1994,1,12,4,0
3062,2,2948.1990071603527,27042.689909121455,7,13,7665,1993,8,20,1,1
194,5,14.082927976180883,24971.900635067246,3,0,2880,1994,1,28,4,2
323,5,3460.538225057303,23539.705513410536,7,13,7665,1994,4,13,3,1
4051,4,5284.841286806816,29561.646721942634,7,13,7665,1993,12,12,6,2
2073,3,127.03922309910848,16482.995617817855,3,4,3249,1993,6,18,0,1
4216,4,2764.6721319724593,21873.772750532065,7,13,7665,1993,12,5,1,1
1112,0,3516.671284258859,22290.077699058445,7,13,7665,1994,4,28,6,1
42,0,233.44499858677753,64975.38394951624,7,13,7665,1993,7,12,5,1
3757,4,980.7881137222402,29992.767794788386,7,11,5223,1993,10,12,3,2
1121,4,4158.068129960243,30280.995840517688,0,13,7665,1994,4,7,1,1
2337,2,31848.52166878371,76929.8398681168,2,13,7665,1993,12,31,3,1
4223,2,1575.7246006588125,45858.64737097041,7,13,7665,1994,8,6,0,1
2370,3,1797.2934151030965,45029.62418274189,7,13,7665,1994,3,28,1,1
3497,4,1861.6196061523551,12850.969116684915,6,5,0,1993,11,27,5,2
194,3,882.668515840801,22738.16529860687,1,5,6066,1994,4,7,4,1
2579,2,5165.977682807315,25328.3416774414,7,13,7665,1993,3,31,1,1
2112,4,6849.65722553747,27585.366473575552,0,13,7665,1993,8,18,6,0
341,4,14.926772491774223,22048.658069894413,7,13,7665,1994,2,8,0,2
243,2,6899.676139149205,51091.79519267163,6,13,7665,1993,11,10,3,2
702,4,4749.055069379207,17905.552945201092,7,13,5095,1994,1,18,5,1
4223,5,26127.220352067157,66294.62591999314,7,13,7665,1993,9,5,6,1
3757,2,4387.249023143747,92414.68163855409,7,4,5405,1994,2,12,3,1
2644,0,3661.684406171433,46613.02317905001,7,13,7665,1994,3,2,2,1
2512,5,5536.745527319614,23703.56461104102,0,13,7665,1993,8,16,5,2
1221,0,3470.5678702077603,24744.21058151726,7,0,755,1993,10,8,2,1
3863,5,5445.081004277105,47242.25509805533,7,13,7665,1993,12,6,1,1
1332,5,199.14412080666645,36374.09491111765,5,1,3249,1994,2,23,2,2
1904,5,5433.695215600073,27630.97407822116,7,13,7003,1993,12,13,4,1
2402,2,207.39946198952526,12741.358683785169,7,12,4173,1993,8,13,0,1
2260,5,2341.225929084922,23817.358112659433,7,13,7665,1994,3,31,1,2
2580,4,1611.1448556510582,2082.9848625546547,0,13,7665,1993,12,12,6,2
3872,4,1444.5690763288192,7356.2528144151765,3,4,5405,1994,3,5,4,2
4316,2,15269.208119803658,40762.130538586905,7,13,7665,1994,3,31,6,1
3026,0,58453.24873163704,43296.41000929755,5,0,6592,1994,1,13,2,1
1399,5,204.65445181688648,29338.24694923711,7,13,7665,1994,2,11,0,1
1904,0,11072.966505902023,57057.16134797946,0,1,999,1994,3,31,3,1
4393,0,3091.800783264796,13056.05074086392,7,1,999,1994,3,18,5,1
888,4,2674.6350860734406,31817.272430097415,0,13,5042,1993,8,12,1,2
2698,5,8503.917174527855,29000.91748488688,7,13,7665,1994,2,28,0,1
3686,0,6054.2547469882875,46591.411938479854,3,13,7665,1994,3,14,6,1
2839,4,4032.474304399623,28440.180161709635,0,13,7665,1993,9,15,3,2
4087,3,1.1821415672533195,57840.93542071102,7,13,7665,1993,6,30,3,1
2416,0,19926.88598343896,66836.68761342263,7,13,7665,1993,7,31,5,1
126,5,14628.083616018552,46992.45370263507,7,13,7665,1993,9,30,3,1
3887,5,14.478952075114709,18735.611853476723,6,13,1661,1993,11,7,1,2
2839,2,8210.471253913232,28576.830881870068,0,3,7665,1994,1,23,1,2
426,5,2370.811723023327,36705.883551565494,7,13,7665,1993,12,13,6,0
1964,4,2653.112287572782,30830.00700859986,0,11,7618,1994,1,9,5,2
4373,4,2404.5304960039707,45059.107483754306,7,13,7665,1994,3,11,6,2
3902,5,20642.28867036998,22908.54643181083,7,13,7665,1994,3,11,2,2
2512,3,14.265077084889512,34503.77679452897,6,13,7665,1994,2,24,0,2
2580,4,2094.148414213803,15398.718104317304,7,13,7665,1994,3,5,6,1
845,5,3501.473532532614,36097.32191949295,0,13,7665,1994,2,8,0,0
209,3,17.46294956508369,29994.045889803696,3,1,785,1994,1,9,0,2
2224,4,79.06771417746455,28242.44316248852,0,11,4804,1993,3,9,5,2
4412,3,78.46632458175856,18933.329213060344,5,12,5849,1994,1,7,0,2
2644,4,7081.214146977007,19897.789157166273,6,7,4374,1993,4,21,4,2
1990,0,2372.342335176667,29416.88864434474,7,3,4227,1993,10,28,0,1
230,3,114.07088212242545,65429.657752775485,3,13,7665,1994,1,31,3,1
223,2,10299.857875013793,48826.837891095005,7,13,7665,1994,1,31,0,1
110,5,14.011765340525168,22914.144424823196,6,7,6820,1994,2,31,6,2
3497,3,371.5070864835129,22158.865365845297,3,11,1256,1993,8,18,1,2
2416,3,12.140262425737895,827.7188743037495,7,13,7665,1994,3,31,0,1
2797,0,3032.5023253400905,15294.899641955977,6,1,5404,1994,3,6,4,1
1985,4,2207.8484122326468,18938.666697009117,7,9,767,1993,4,10,5,2
4273,4,2695.312114179694,23391.053398579374,7,13,7665,1993,11,7,0,2
2487,5,5641.173714571612,33512.401152468105,7,13,7665,1993,12,31,6,1
2031,4,197.0533212112448,29688.036419969445,5,3,4369,1993,3,22,4,2
985,3,97.39069691413582,32792.845480980686,7,13,7665,1993,4,13,6,2
1328,0,20177.996775622374,44488.62386881411,7,3,965,1993,10,11,6,1
117,0,107709.70103614934,69668.20499583546,7,13,7665,1993,12,11,1,1
2408,3,138.6645409554523,22560.178624597902,3,5,1253,1994,2,28,0,1
1121,4,9119.610266168605,32651.93611224884,0,5,7665,1993,12,11,6,2
2448,4,650.3216554027308,24991.83800946832,7,4,229,1993,11,8,0,2
2784,3,12.992142718118645,42442.950828706955,6,13,7665,1994,3,31,1,1
2370,4,1805.636094824619,36656.49167297419,7,5,3786,1994,1,5,6,1
2580,5,4660.564669301861,32160.21248286139,6,13,7665,1993,12,23,5,1
3011,2,7460.1470798475075,63497.74667716758,7,13,7665,1993,12,4,4,2
3292,5,14.04021867548445,39229.214166421385,6,13,7665,1993,12,28,4,2
2523,5,59.64212049757516,-19.579746974251066,7,13,7665,1993,10,31,4,1
748,2,8456.874351913188,41007.61421103756,7,13,7665,1994,3,31,3,1
3822,2,32112.402126653124,50359.856705432314,7,3,185,1993,6,31,1,1
1782,3,205.27568738337828,19207.159060677935,3,13,7665,1994,3,18,6,2
883,4,3026.842735267545,38420.71623668739,7,13,7665,1994,3,4,6,2
2902,5,7274.8323828464045,35332.328001780115,7,13,7665,1993,10,8,1,1
1487,3,111.76222487513289,28519.581313162635,3,12,2068,1993,3,15,1,2
2292,4,13363.942336357053,1298.1032036373908,7,13,7665,1993,11,23,2,1
2628,2,12449.275274871667,30084.019854698177,7,0,4082,1993,11,15,1,2
622,5,3438.8612538204034,48392.390630758666,7,13,7665,1993,8,8,5,1
2416,3,136.59855311841372,6245.692566886852,3,5,2017,1993,3,24,4,1
2031,4,4404.765242672548,13795.251901501375,1,4,1585,1993,11,28,5,2
2784,0,55.49397958535626,16266.749169847557,5,11,3774,1993,10,13,4,2
220,5,4002.195396939025,33878.63029588354,7,13,7665,1993,12,5,4,1
857,0,132.87519060622998,24988.789902632492,7,10,3133,1993,5,31,3,1
1121,4,201.475732079943,4285.5012571931675,3,13,2330,1993,12,28,2,2
230,5,5893.998874177655,31001.27982234409,7,13,7665,1994,1,11,0,1
4223,2,3052.71082748697,61882.58026810056,2,13,7665,1993,7,31,5,1
548,0,6226.4162144277525,25270.893615642744,7,13,7665,1993,6,30,1,1
1771,5,75718.29337594107,61699.73353358779,6,13,7665,1994,4,9,3,1
2517,5,17071.80650420889,57965.60674291228,7,13,7665,1994,1,14,3,1
1082,4,5415.818127753531,21753.630397304456,0,8,5042,1994,1,10,5,2
1566,5,17126.075976211076,21223.58118169061,7,13,7665,1993,8,31,0,2
2679,4,1070.3492499254808,18864.1223282557,0,2,2828,1994,3,10,5,2
3253,0,2683.387188730007,59068.17041637145,7,6,7597,1994,1,31,0,1
466,4,14.663964511135275,50145.94439685746,0,13,7665,1994,3,8,3,2
2512,0,2850.0086312393873,28047.759748416778,5,10,3729,1994,3,4,5,1
356,4,385.8760228879519,7387.909486467166,1,4,4995,1994,2,21,0,2
3644,5,2756.2357629047065,60266.74100150709,6,13,7665,1993,5,10,1,2
3816,5,2099.5359505200013,32911.07039322692,0,13,7665,1994,2,6,6,2
2416,4,2793.192316924797,27844.15061273527,6,13,7665,1993,12,24,4,2
4266,5,5877.908766748407,58087.192499976634,7,13,7665,1994,3,31,2,1
4264,5,16163.504063081084,30468.59877226009,7,13,7665,1993,10,3,0,1
4047,4,2998.1341397670885,20778.910323145534,7,13,7665,1994,2,23,1,2
1582,0,23827.624291869182,45376.383063267545,7,10,3115,1994,4,24,6,1
702,0,3154.0500532483024,50985.959423273576,7,13,7665,1993,4,13,4,2
2196,2,1278.1835386875105,25922.850731180868,7,13,7665,1993,1,8,5,1
1399,0,3951.91608320063,28570.765114298956,7,10,185,1994,1,5,5,1
31,4,844.7917368069475,50362.2545929517,7,13,7665,1994,3,24,4,2
888,4,8041.084418664246,28557.05239542268,7,13,7665,1993,12,9,1,2
3737,4,75.36181984149654,403.1226321294207,7,13,7665,1993,3,9,4,2
1680,4,3196.3324214189543,36896.588891358966,7,11,1585,1994,4,9,4,0
3470,0,129.47420064216712,37587.78836034128,7,13,7665,1994,3,31,1,1
2514,3,811.8932602674096,15501.665671646995,5,7,1670,1994,4,7,6,2
2416,5,509.45858945582347,12438.297590759088,7,13,7665,1993,12,3,3,2
2628,2,41234.43173128215,150306.4248081758,7,13,7665,1993,9,30,1,1
352,3,48.04447730137748,27786.588744865818,3,13,7665,1993,3,7,5,2
2915,5,2341.062121099333,27187.71481796904,0,13,7665,1993,1,11,0,2
4076,0,140.40691209407606,22944.70744136883,3,2,174,1994,2,31,0,1
2644,5,1266.452006369616,58362.41374388805,7,13,7665,1993,10,9,3,2
1023,0,5985.6653566943405,34609.51645523595,3,4,5147,1994,1,23,1,1
1782,3,157.28352860538422,58665.771927182555,3,13,7665,1993,12,17,6,2
381,2,4791.867645112112,2469.249522066325,7,12,174,1993,12,28,1,1
1232,5,12.69863691519735,21472.660161526546,7,13,7665,1993,10,19,2,2
1591,2,7146.175107046583,157900.12433891138,3,13,7665,1993,12,12,6,1
1331,4,234.60923683147706,22079.12996796435,7,10,5132,1994,3,6,6,2
1836,4,376.4987801317079,1956.1335828588362,7,13,7665,1994,3,31,3,1
1405,0,3767.6149168333186,16057.053961834477,7,13,7665,1994,2,28,0,1
1857,2,1209.1209637564527,-420.6657627293962,7,13,7665,1993,1,31,4,1
1985,5,1178.2915756242921,16839.587494733063,7,13,7665,1994,2,10,4,1
3547,3,130.13139819326176,40890.95231701428,3,11,4274,1994,4,9,6,1
3644,4,5668.762779155061,26973.01409358103,7,13,7665,1993,11,30,5,2
4184,3,155.23532546842412,4821.614020447307,5,7,6049,1993,1,4,6,2
2450,5,10020.467082130359,118907.52413791587,7,13,0,1994,3,31,0,1
1985,5,3625.4877288467355,4465.225364201882,7,13,7665,1993,12,28,0,2
4170,0,6056.371093805337,11815.873962631162,7,13,7665,1993,8,8,5,2
1328,0,4422.482534509715,26078.39500592705,5,8,1585,1994,1,6,0,2
31,5,8074.119085499953,26084.280852894346,7,13,7665,1993,12,9,4,2
4462,5,72.6281478364649,47377.92902150911,6,13,7665,1993,9,30,2,1
435,2,34147.6643571003,85976.44396950796,7,13,7665,1993,5,13,6,1
1680,4,3042.199389462816,30543.521318297928,7,13,7665,1994,3,9,0,2
1805,0,3046.2926754275336,16300.343305500795,7,13,7665,1993,12,14,5,1
4223,2,11322.075906763275,48803.90356111361,7,13,7665,1994,4,16,5,2
692,2,12213.806236751649,27094.278871350325,7,1,3249,1993,12,6,4,1
2260,2,19583.618011998013,41386.03755323331,7,13,7665,1994,4,12,1,2
4170,5,13.99511478772156,47062.24313296315,6,13,7665,1993,6,31,6,1
926,4,1740.4644291888415,39209.67352172166,7,11,1411,1993,2,27,0,2
3470,5,823.9303122786713,7786.343338593433,7,11,5487,1993,11,30,0,1
3762,0,3645.5859973486167,28963.682149173917,7,13,7665,1994,3,6,0,1
3376,3,57.73006348901161,20504.695395054157,3,13,7665,1993,12,31,6,2
1110,5,7576.186782646412,66094.63672137944,7,13,7665,1994,3,8,2,2
212,2,7069.7254050055535,32911.29777939597,6,13,7665,1994,9,11,3,1
3011,4,3088.579116389438,35764.429054958724,7,13,7665,1993,6,13,5,1
1782,3,127.11142767204166,13882.343087156638,0,9,185,1993,12,11,3,2
3816,4,141.51015219415427,35120.14198528746,3,13,7665,1993,6,10,1,2
1004,0,7159.885491162502,32428.848159006586,7,13,7665,1993,10,31,3,1
1328,3,30.165332716548765,24650.20889139971,3,12,6066,1993,12,1,6,2
1825,4,3240.4163473586545,47504.74311631892,5,9,4895,1993,2,18,0,2
3253,5,0.7544670351062766,28035.08625619863,3,13,7665,1993,4,5,5,2
1580,5,709.0255054941067,20939.965415414466,6,13,0,1993,12,9,4,1
3644,4,4593.733860787292,27978.613146007046,7,13,7665,1994,10,11,4,2
1460,5,13.851993696545057,26299.32422066131,7,10,5147,1994,1,10,1,1
692,2,2228.832182535617,12067.570608688082,7,13,7665,1994,4,6,5,1
1416,4,117.33236595538304,23460.815489285218,3,4,6653,1994,2,27,0,2
3116,5,4900.402583707296,36168.7385599358,1,5,6820,1994,4,8,2,2
3882,0,130.1077229442619,15430.624535406387,5,6,5417,1994,4,6,5,1
4076,0,4271.652004952336,57960.73945623192,0,4,6842,1993,12,9,2,1
4170,5,6407.376569560308,37210.1114902043,7,13,7665,1993,10,10,3,1
4282,4,2549.6806441187837,28342.808605590355,7,5,5405,1993,3,12,0,1
3415,3,803.7910879829207,50421.906041525785,5,3,314,1994,4,6,4,1
2073,0,6283.265375741353,20839.722143341685,1,9,1585,1993,10,4,5,1
960,5,24474.467522142066,16702.07071822881,7,13,7665,1994,3,14,1,2
4223,2,2597.3982685614615,6337.356736584679,7,13,2560,1994,3,31,0,1
1857,5,60866.27125964884,55573.377378948295,7,13,7665,1993,10,31,4,1
3011,4,3047.242656272095,28897.170303853505,7,13,7665,1994,2,13,1,2
4170,0,2363.3526456926593,53471.31357553725,3,4,1569,1993,12,12,3,1
3993,5,13.442499294016324,43873.58328584076,7,13,7665,1994,3,31,3,1
466,2,581.0027537740199,26745.773091630457,5,1,5905,1993,11,8,4,1
119,4,8696.827236812629,7405.888797135558,7,10,2506,1994,4,4,1,2
1332,5,14.11894455320936,77104.11357517746,6,13,7665,1993,6,30,4,2
194,5,140.28739221785906,36986.52772190439,0,13,7665,1994,2,6,3,2
220,3,137.965564472621,33624.08097754405,3,0,1256,1994,4,6,0,1
1680,5,2717.5605279294555,31459.936638618063,7,13,7665,1994,1,31,4,1
58,3,95.10427593710946,41395.88729608541,7,13,1585,1994,3,11,0,2
3737,4,4411.558748565603,36749.89305831041,0,13,7665,1994,4,10,6,2
4264,5,13.856651718017364,30276.9192278208,6,13,7665,1994,4,11,5,2
4076,4,3680.507768618032,22030.652453246832,0,2,2962,1993,8,8,6,2
1487,0,168.00469733435258,17815.248395758004,5,1,314,1994,4,4,0,1
4302,5,9366.076700542611,40988.38052032119,7,13,7665,1994,2,28,5,1
2580,2,13927.820790824397,42486.61445684233,7,13,7665,1993,12,6,2,1
2784,0,2539.880303255644,23378.075298988566,7,13,7665,1994,3,14,3,1
2031,4,14880.473976594805,65266.02944406659,0,13,7665,1993,7,10,5,2
1105,3,19.286571619083748,16403.32269883007,7,8,3505,1993,8,10,0,1
4373,4,221.06927439989636,18237.598845735087,3,13,7665,1993,8,11,3,2
4273,0,4478.979296489807,40192.74118359594,7,13,7665,1993,12,31,1,1
3253,4,688.6405404561303,15834.036231556125,5,11,785,1994,4,9,1,2
2408,2,12922.916604025599,33246.174312701594,7,13,7665,1994,3,18,1,1
258,0,5958.896645903451,28228.00168734137,7,13,7665,1993,6,10,6,1
1904,2,25164.888459084046,66884.41476971698,7,0,6842,1994,1,13,1,1
1762,5,2638.0078750463017,24908.427472508993,0,13,7665,1994,1,31,4,2
466,5,1863.1152669494757,16922.81337149282,7,5,993,1993,9,30,1,2
719,2,15145.031005432407,26901.66708962317,7,13,6074,1993,8,9,3,1
3945,5,6117.834429638565,15954.423157483729,7,13,7665,1994,3,31,4,1
719,4,3646.236968453954,25229.303885432386,0,8,1212,1993,6,30,5,1
2408,4,14664.447812236314,28034.76772788463,7,10,5064,1994,2,3,1,2
4415,5,2194.160192487133,1683.0971764189508,7,13,7665,1993,8,7,2,2
4040,2,17206.143887893675,20626.84939732248,7,13,7665,1993,3,31,0,1
