account_id,type,operation,amount,balance,k_symbol,bank,account,time_diff
462,2,5,25300,46177,7,13,7665,33
462,1,2,45647,71477,7,13,7665,33
1080,1,2,1000,1000,7,13,7665,33
3945,1,2,700,700,7,13,7665,33
3336,1,2,600,600,7,13,7665,33
901,1,2,800,800,7,13,7665,33
2740,1,2,7000,14678,7,13,7665,33
443,1,2,700,700,7,13,7665,34
3785,1,2,900,900,7,13,7665,34
4338,1,2,300,300,7,13,7665,34
623,1,2,2900,17496,7,13,7665,34
2259,1,2,30192,89645,7,13,7665,35
2541,1,2,24381,25481,7,13,7665,35
391,1,2,400,400,7,13,7665,35
2073,1,0,5123,11067,5,12,4802,35
1076,1,2,23330,23930,7,13,7665,35
848,1,2,700,700,7,13,7665,35
1832,1,2,8500,13721,7,13,7665,35
1816,1,0,3191,3991,7,0,1927,35
356,1,0,23041,23441,7,11,291,35
1614,1,0,5224,6024,5,1,7216,35
1719,1,0,5029,5429,5,10,3106,35
726,1,0,6238,7338,5,10,2397,35
754,1,0,3401,7617,7,4,477,35
939,1,2,900,900,7,13,7665,35
2761,1,2,20213,20413,7,13,7665,35
4487,1,2,7618,8618,7,13,7665,35
329,1,2,19935,20735,7,13,7665,35
600,1,2,600,600,7,13,7665,35
1091,1,0,3375,3575,7,3,103,36
381,1,2,12817,13117,7,13,7665,36
3762,1,2,500,500,7,13,7665,36
3571,1,2,38645,50459,7,13,7665,36
3332,2,5,1600,22271,7,13,7665,36
1215,1,2,10600,17797,7,13,7665,36
181,1,0,5859,6159,5,3,1247,36
2274,1,2,5500,17165,7,13,7665,36
2144,1,2,700,700,7,13,7665,36
901,1,0,3217,4017,7,7,5416,36
3785,1,2,14626,15526,7,13,7665,36
939,1,2,4550,5450,7,13,7665,36
3677,1,0,4356,4656,5,3,2469,36
1645,1,0,6689,7589,5,9,3377,36
2308,1,2,600,600,7,13,7665,36
2259,2,4,9612,80033,0,2,78,37
3812,1,2,5080,5280,7,13,7665,37
415,1,0,5039,5439,5,6,1767,37
443,1,0,12785,13485,7,10,5542,37
1121,1,0,4212,4912,5,11,5586,37
1755,1,0,17632,18632,7,8,5911,37
1756,1,0,3242,6996,7,9,3354,37
2212,1,0,3395,3595,7,9,1503,37
4242,1,2,200,200,7,13,7665,37
3336,1,0,3399,3999,7,3,5199,37
1877,1,0,5298,11015,5,10,1145,37
4420,1,2,14493,15593,7,13,7665,37
2001,1,2,28157,81962,7,13,7665,37
1990,1,2,1800,19390,7,13,7665,37
955,1,0,31348,31548,7,9,6728,37
2394,1,0,5544,6044,5,3,413,37
2022,2,5,14100,32859,7,13,7665,37
4006,1,2,33045,33345,7,13,7665,37
3311,1,2,1800,18556,7,13,7665,37
2132,1,2,200,200,7,13,7665,38
4214,1,2,600,600,7,13,7665,38
790,1,2,200,200,7,13,7665,38
462,1,2,20066,66243,7,13,7665,38
2519,1,2,400,400,7,13,7665,38
1743,1,2,1000,1000,7,13,7665,38
3863,1,0,27666,27666,7,2,1403,38
3863,1,2,500,28166,7,13,7665,38
1870,1,2,600,600,7,13,7665,38
4063,1,2,700,700,7,13,7665,38
1401,1,2,700,3851,7,13,7665,38
1401,1,0,3151,3151,7,5,7112,38
960,1,2,1000,1000,7,13,7665,38
1215,1,2,6774,24571,7,13,7665,38
230,1,2,800,800,7,13,7665,38
356,2,5,1500,21941,7,13,7665,38
2860,1,2,22452,23252,7,13,7665,38
4325,1,2,800,800,7,13,7665,38
2743,1,2,1100,1100,7,13,7665,38
821,1,0,44333,44533,7,12,209,38
4489,1,2,18347,19447,7,13,7665,38
2260,1,2,13900,14700,7,13,7665,39
973,1,2,19746,20846,7,13,7665,39
1082,1,2,400,400,7,13,7665,39
1080,1,0,48098,49098,7,9,2518,39
848,1,2,7041,7741,7,13,7665,39
2784,1,2,9100,16566,7,13,7665,39
2785,1,2,10584,11184,7,13,7665,39
199,1,0,49590,49790,7,4,4480,39
1884,1,0,3021,3921,7,10,2976,39
1520,1,2,500,500,7,13,7665,39
2505,1,2,14264,34775,7,13,7665,39
3518,1,0,6242,6742,5,0,971,39
825,1,2,5400,18581,7,13,7665,39
623,1,2,13851,31347,7,13,7665,39
3627,1,2,17366,37387,7,13,7665,39
2260,1,2,5072,19772,7,13,7665,40
2112,1,2,1100,1100,7,13,7665,40
774,1,2,1100,1100,7,13,7665,40
435,1,0,47831,48531,7,0,7344,40
2519,1,2,12015,12415,7,13,7665,40
1272,2,5,5200,33215,7,13,7665,40
2305,1,2,8905,9805,7,13,7665,40
1927,1,2,23524,23724,7,13,7665,40
3414,1,0,6007,12633,5,6,5649,40
2459,1,2,1000,1000,7,13,7665,40
2720,1,2,300,300,7,13,7665,40
329,1,2,1200,21935,7,13,7665,40
2259,1,2,31038,111071,7,13,7665,41
2259,2,5,25200,85871,7,13,7665,41
1460,1,2,43737,56237,7,13,7665,41
774,1,0,12154,13254,7,8,1565,41
3821,1,2,23736,24036,7,13,7665,41
1664,1,2,24863,25963,7,13,7665,41
2224,1,2,400,400,7,13,7665,41
2629,1,2,200,200,7,13,7665,41
550,1,0,6207,13334,5,12,2381,41
2001,2,5,29700,52262,7,13,7665,41
1990,1,2,14622,34012,7,13,7665,41
1646,1,0,4758,4958,5,3,6920,41
2743,1,2,5810,6910,7,13,7665,41
825,1,2,12644,31225,7,13,7665,41
600,1,2,22349,22949,7,13,7665,41
4214,1,2,19588,20188,7,13,7665,42
4214,1,2,27078,47266,7,13,7665,42
4087,1,0,32594,33494,7,1,3911,42
1457,1,0,25609,25909,7,8,3915,42
3816,1,2,20281,20481,7,13,7665,42
1849,1,2,700,700,7,13,7665,42
1871,1,2,900,900,7,13,7665,42
1162,1,0,6310,7010,5,5,5998,42
2448,1,2,14319,15419,7,13,7665,42
3571,2,5,14400,36059,7,13,7665,42
2239,1,0,6434,13687,5,7,2665,42
2361,1,2,14779,36200,7,13,7665,42
1832,1,2,4507,18228,7,13,7665,42
2784,1,2,6446,23012,7,13,7665,42
669,1,2,17477,38904,7,13,7665,42
1547,1,0,4276,9265,5,10,1281,42
4029,2,5,9600,36059,7,13,7665,42
3641,1,2,13875,14575,7,13,7665,42
264,1,2,12043,12343,7,13,7665,42
2313,1,2,4391,4991,7,13,7665,42
1591,1,0,4327,5427,5,0,3861,42
153,1,0,6698,7598,5,12,5904,43
455,1,2,16392,17392,7,13,7665,43
2177,1,2,700,700,7,13,7665,43
2547,1,2,15263,15463,7,13,7665,43
2417,1,2,1100,1100,7,13,7665,43
3882,1,2,18729,18929,7,13,7665,43
1416,1,0,5009,10231,5,0,4173,43
1405,1,0,3098,4098,7,0,1685,43
2785,1,2,9000,20184,7,13,7665,43
2144,1,0,4729,5429,5,0,4585,43
1556,1,0,5718,11951,5,10,3477,43
1714,1,2,700,700,7,13,7665,43
3712,2,5,500,24600,7,13,7665,43
3712,1,2,24400,25100,7,13,7665,43
2826,1,2,9658,10058,7,13,7665,43
2459,1,2,14963,15963,7,13,7665,43
1641,1,2,13967,34972,7,13,7665,43
2740,1,2,6959,21637,7,13,7665,43
3311,1,2,15914,34470,7,13,7665,43
4487,1,2,9800,18418,7,13,7665,43
423,1,0,3058,3558,7,9,2312,44
4469,1,2,600,600,7,13,7665,44
391,1,2,18497,18897,7,13,7665,44
1871,1,2,20567,21467,7,13,7665,44
2417,1,0,6148,7248,5,1,306,44
4366,1,0,4470,9362,5,1,2950,44
2303,1,2,400,400,7,13,7665,44
2274,1,2,10737,27902,7,13,7665,44
3507,1,2,15447,16447,7,13,7665,44
733,1,2,24009,24509,7,13,7665,44
4029,1,0,44749,80808,7,4,6206,44
1973,1,2,12138,12438,7,13,7665,44
133,1,2,900,900,7,13,7665,45
8,1,2,800,1200,7,13,7665,45
3253,1,2,900,900,7,13,7665,46
4420,1,2,4200,19793,7,13,7665,46
513,1,2,700,700,7,13,7665,46
3376,1,2,1100,1100,7,13,7665,46
936,1,2,1000,1000,7,13,7665,46
2582,1,2,1300,2100,7,13,7665,46
3812,1,2,8000,13280,7,13,7665,47
381,1,2,6000,19117,7,13,7665,47
3945,1,2,29511,30211,7,13,7665,47
3208,1,2,200,200,7,13,7665,47
3367,1,2,900,900,7,13,7665,47
2899,1,2,600,600,7,13,7665,47
88,1,2,1100,1100,7,13,7665,48
3253,1,2,44162,45062,7,13,7665,48
439,1,2,600,600,7,13,7665,48
4063,1,2,24023,24723,7,13,7665,48
3376,1,2,900,2000,7,13,7665,48
2879,1,2,400,400,7,13,7665,48
3415,1,2,200,200,7,13,7665,48
3641,1,2,6600,21175,7,13,7665,48
119,1,2,300,300,7,13,7665,49
3596,1,2,800,800,7,13,7665,49
4063,1,2,33410,58133,7,13,7665,49
199,2,5,14800,34990,7,13,7665,49
3505,1,2,400,400,7,13,7665,49
1006,1,2,800,800,7,13,7665,49
2312,1,2,500,500,7,13,7665,49
2259,1,2,19136,105007,7,13,7665,50
2259,2,5,33900,71107,7,13,7665,50
973,1,2,4100,24946,7,13,7665,50
435,2,5,10500,38031,7,13,7665,50
437,1,2,13400,14400,7,13,7665,50
733,2,5,600,23909,7,13,7665,50
3993,1,2,700,700,7,13,7665,50
2024,1,2,500,500,7,13,7665,50
4489,1,2,3700,23147,7,13,7665,50
305,1,2,1000,1000,7,13,7665,50
3011,1,2,1000,1000,7,13,7665,50
1457,1,2,100,26009,7,13,7665,51
2547,1,2,3300,18763,7,13,7665,51
3902,1,2,800,800,7,13,7665,51
2826,1,2,9400,19458,7,13,7665,51
3376,1,2,45925,47925,7,13,7665,51
3945,1,2,41740,71951,7,13,7665,52
2277,1,2,500,500,7,13,7665,52
264,1,2,6200,18543,7,13,7665,52
2305,1,2,8000,17805,7,13,7665,52
1593,1,2,200,200,7,13,7665,52
883,1,2,500,500,7,13,7665,53
3816,1,2,3100,23581,7,13,7665,53
959,1,2,300,300,7,13,7665,53
3945,1,2,31332,103283,7,13,7665,53
3945,2,5,62100,41183,7,13,7665,53
2011,1,2,600,600,7,13,7665,53
4339,1,2,7100,13282,7,13,7665,53
4338,1,2,28361,28661,7,13,7665,53
4006,2,5,4000,29345,7,13,7665,53
662,1,2,200,200,7,13,7665,53
4087,2,5,4500,28994,7,13,7665,54
455,1,2,900,18292,7,13,7665,54
1298,1,2,900,900,7,13,7665,54
2964,1,2,900,900,7,13,7665,54
1002,1,2,1000,1000,7,13,7665,54
955,2,5,1500,30048,7,13,7665,54
2133,1,2,300,300,7,13,7665,55
1664,2,5,2500,23463,7,13,7665,55
1927,1,2,2700,26424,7,13,7665,55
1566,1,2,11000,11700,7,13,7665,55
536,1,2,300,300,7,13,7665,55
186,1,2,800,800,7,13,7665,55
4040,1,2,900,900,7,13,7665,55
4128,2,5,8900,36168,7,13,7665,55
4128,1,2,23990,45068,7,13,7665,55
2541,2,5,1400,24081,7,13,7665,56
472,1,2,800,800,7,13,7665,56
2440,1,2,10700,11500,7,13,7665,56
1076,1,2,1800,25730,7,13,7665,56
4184,1,2,1100,1100,7,13,7665,56
8,1,2,10900,12100,7,13,7665,56
1,1,2,1100,1100,7,13,7665,56
1742,1,2,900,900,7,13,7665,57
408,1,2,200,200,7,13,7665,57
3882,1,2,5200,24129,7,13,7665,57
3467,1,2,800,800,7,13,7665,57
2363,1,2,200,200,7,13,7665,57
1603,1,2,800,800,7,13,7665,57
2861,1,2,200,200,7,13,7665,57
4329,1,2,900,900,7,13,7665,57
2761,1,2,3900,24313,7,13,7665,57
1495,1,2,900,900,7,13,7665,57
344,1,2,600,600,7,13,7665,57
1688,1,2,900,900,7,13,7665,57
973,1,3,33,24979,3,13,7665,58
955,1,3,22,30070,3,13,7665,58
939,1,3,18,5468,3,13,7665,58
2259,2,5,14,71437,6,13,7665,58
1756,1,3,15,7012,3,13,7665,58
2505,1,3,121,34897,3,13,7665,58
2519,1,3,35,12450,3,13,7665,58
2541,1,3,10,24091,3,13,7665,58
2547,1,3,22,18785,3,13,7665,58
4087,1,3,21,29015,3,13,7665,58
1457,1,3,31,26040,3,13,7665,58
1401,1,3,9,3860,3,13,7665,58
1416,1,3,21,10253,3,13,7665,58
848,1,3,23,7764,3,13,7665,58
825,1,3,103,31328,3,13,7665,58
901,1,3,13,4030,3,13,7665,58
821,1,3,139,44672,3,13,7665,58
4128,1,3,102,36270,3,13,7665,58
4338,1,3,21,28707,3,13,7665,58
4420,1,3,38,19831,3,13,7665,58
1272,1,3,160,33375,3,13,7665,58
3571,1,3,110,36169,3,13,7665,58
3712,1,3,58,24658,3,13,7665,58
3627,1,3,83,37471,3,13,7665,58
3641,1,3,34,21209,3,13,7665,58
356,1,3,68,22009,3,13,7665,58
4489,1,3,31,23205,3,13,7665,58
4366,1,3,20,9383,3,13,7665,58
8,1,3,5,12105,3,13,7665,58
669,1,3,89,38993,3,13,7665,58
623,1,3,110,31457,3,13,7665,58
600,1,3,61,23010,3,13,7665,58
3507,1,3,2,19649,3,13,7665,58
2860,1,3,72,23324,3,13,7665,58
1591,1,3,13,5440,3,13,7665,58
1547,1,3,20,9286,3,13,7665,58
1556,1,3,25,11977,3,13,7665,58
1714,1,3,2,702,3,13,7665,58
1610,1,3,50,19620,3,13,7665,58
1664,1,3,14,23477,3,13,7665,58
1641,1,3,110,35082,3,13,7665,58
2417,1,3,16,7264,3,13,7665,58
2448,1,3,39,15458,3,13,7665,58
3253,1,3,73,45135,3,13,7665,58
3812,1,3,23,13303,3,13,7665,58
462,1,3,249,66492,3,13,7665,58
550,1,3,29,13363,3,13,7665,58
1973,1,3,3,20141,3,13,7665,58
1990,1,3,117,34129,3,13,7665,58
2022,1,3,199,72343,3,13,7665,58
3816,1,3,21,23602,3,13,7665,58
3376,1,3,57,47982,3,13,7665,58
3785,1,3,53,15579,3,13,7665,58
3332,1,3,99,22370,3,13,7665,58
1460,1,3,150,56387,3,13,7665,58
2001,1,3,220,52482,3,13,7665,58
2459,1,3,38,16001,3,13,7665,58
4006,1,3,26,29371,3,13,7665,58
2073,1,3,24,11092,3,13,7665,58
2144,1,3,12,5441,3,13,7665,58
264,1,3,19,18562,3,13,7665,58
329,1,3,62,21997,3,13,7665,58
2022,1,2,39285,72144,7,13,7665,58
1076,1,3,11,25741,3,13,7665,58
1080,1,3,146,49244,3,13,7665,58
1871,1,3,47,21514,3,13,7665,58
1832,1,3,54,18282,3,13,7665,58
1927,1,3,15,26439,3,13,7665,58
1877,1,3,23,11038,3,13,7665,58
3414,1,3,27,12661,3,13,7665,58
3336,1,3,13,4012,3,13,7665,58
3311,1,3,111,34582,3,13,7665,58
754,1,3,17,7634,3,13,7665,58
774,1,3,35,13289,3,13,7665,58
733,1,3,32,23941,3,13,7665,58
1714,1,2,18972,19674,7,13,7665,58
3507,1,2,3200,19647,7,13,7665,58
199,1,3,52,35042,3,13,7665,58
3993,1,2,44455,45161,7,13,7665,58
2239,1,3,30,13717,3,13,7665,58
2259,1,3,344,71452,3,13,7665,58
2274,1,3,84,27986,3,13,7665,58
2260,1,3,55,19827,3,13,7665,58
2305,1,3,18,17823,3,13,7665,58
2313,1,3,12,5003,3,13,7665,58
2361,1,3,117,36318,3,13,7665,58
4029,1,3,268,81076,3,13,7665,58
4063,1,3,90,58223,3,13,7665,58
3993,1,3,6,706,3,13,7665,58
4214,1,3,119,47385,3,13,7665,58
4339,1,3,25,13308,3,13,7665,58
4338,1,3,25,28686,3,13,7665,58
381,1,3,34,19151,3,13,7665,58
455,1,3,13,18305,3,13,7665,58
391,1,3,42,18939,3,13,7665,58
443,1,3,44,13529,3,13,7665,58
435,1,3,50,38081,3,13,7665,58
1215,1,3,84,24655,3,13,7665,58
3882,1,3,7,24136,3,13,7665,58
3945,1,3,70,41252,3,13,7665,58
3863,1,3,88,28254,3,13,7665,58
4487,1,3,43,18461,3,13,7665,58
4489,1,3,27,23174,3,13,7665,58
2761,1,3,7,24320,3,13,7665,58
2784,1,3,70,23082,3,13,7665,58
2826,1,3,23,19481,3,13,7665,58
2740,1,3,65,21702,3,13,7665,58
2743,1,3,18,6928,3,13,7665,58
2785,1,3,48,20232,3,13,7665,58
1973,1,2,7700,20138,7,13,7665,58
3821,1,2,2500,26536,7,13,7665,59
1755,1,2,3900,22532,7,13,7665,59
225,1,2,300,300,7,13,7665,59
2582,1,2,10800,12900,7,13,7665,59
2259,2,5,21400,50037,7,13,7665,60
3140,1,2,700,700,7,13,7665,60
2629,1,2,33035,33235,7,13,7665,60
669,2,5,8900,30093,7,13,7665,60
3627,2,5,4200,33271,7,13,7665,60
2259,1,2,7077,57114,7,13,7665,61
1628,1,2,700,700,7,13,7665,61
395,1,2,400,400,7,13,7665,61
1029,1,2,1000,1000,7,13,7665,61
3844,1,2,500,500,7,13,7665,61
3335,1,2,500,500,7,13,7665,61
2505,2,5,6900,27997,7,13,7665,61
2001,1,2,30557,83039,7,13,7665,61
4084,1,2,10200,10400,7,13,7665,62
1460,2,5,13400,42987,7,13,7665,62
462,2,5,8100,76843,7,13,7665,62
462,1,2,18451,84943,7,13,7665,62
2448,1,2,2900,18358,7,13,7665,62
2361,2,5,8100,28218,7,13,7665,62
1610,1,2,5200,24820,7,13,7665,62
1718,1,2,9500,10600,7,13,7665,62
2860,1,2,900,24224,7,13,7665,62
3993,1,2,8813,53974,7,13,7665,62
4338,1,2,37305,66012,7,13,7665,62
1310,1,2,1100,1100,7,13,7665,62
1641,2,5,3200,31882,7,13,7665,62
821,2,5,10700,33972,7,13,7665,62
2313,1,2,10600,15603,7,13,7665,62
2380,1,2,600,600,7,13,7665,63
1080,2,5,11800,37444,7,13,7665,63
462,2,5,25300,51543,7,13,7665,63
1743,1,2,11538,12538,7,13,7665,63
2541,1,2,24381,48472,7,13,7665,63
2073,1,0,5123,16215,5,12,4802,63
1298,1,2,7626,8526,7,13,7665,63
3762,1,0,4807,5307,5,7,2629,63
1076,1,2,23330,49071,7,13,7665,63
2224,1,0,3247,3647,7,2,3303,63
3945,2,5,8900,32352,7,13,7665,63
4242,1,0,26040,26240,7,5,2787,63
1816,1,0,3191,7182,7,0,1927,63
533,1,2,300,300,7,13,7665,63
230,1,0,3972,4772,7,4,989,63
356,1,0,23041,45050,7,11,291,63
1614,1,0,5224,11248,5,1,7216,63
2277,1,0,4203,4703,5,7,2145,63
1719,1,0,5029,10458,5,10,3106,63
726,1,0,6238,13576,5,10,2397,63
754,1,0,3401,11035,7,4,477,63
4128,1,2,42227,78497,7,13,7665,63
4134,1,2,300,300,7,13,7665,63
2761,1,2,20213,44533,7,13,7665,63
2740,1,2,2700,24402,7,13,7665,63
4487,1,2,7618,26079,7,13,7665,63
329,1,2,19935,41932,7,13,7665,63
2308,1,2,14609,15209,7,13,7665,63
2312,1,0,4718,5218,5,7,7553,63
2133,1,0,43493,43793,7,1,608,64
1091,1,0,3375,6950,7,3,103,64
1082,1,2,11970,12370,7,13,7665,64
462,2,4,1591,49952,7,11,4368,64
443,1,2,6800,20329,7,13,7665,64
439,1,0,6388,6988,5,12,7035,64
381,1,2,12817,31968,7,13,7665,64
840,1,2,300,300,7,13,7665,64
706,1,2,400,400,7,13,7665,64
186,1,2,21718,22518,7,13,7665,64
181,1,0,5859,12018,5,3,1247,64
2022,1,2,7597,79940,7,13,7665,64
2861,1,0,6934,7134,5,8,2580,64
901,1,0,3217,7247,7,7,5416,64
3785,1,2,14626,30205,7,13,7665,64
3785,2,5,200,30005,7,13,7665,64
4338,2,5,19000,47012,7,13,7665,64
936,1,2,17914,18914,7,13,7665,64
939,1,2,4550,10018,7,13,7665,64
3677,1,0,4356,9012,5,3,2469,64
2720,1,0,5915,6215,5,9,835,64
4040,1,2,5643,6543,7,13,7665,64
1645,1,0,6689,14278,5,9,3377,64
623,2,5,4800,26657,7,13,7665,64
344,1,2,23638,24238,7,13,7665,64
2132,1,2,11584,11784,7,13,7665,65
2259,2,4,9612,47502,0,2,78,65
81,1,2,800,800,7,13,7665,65
133,1,0,4555,5455,5,8,3082,65
3596,1,2,20950,21750,7,13,7665,65
